BL,NRE,EE
0.6,-68.4775068769978,-29.725337814558078
0.61,-68.5787107488575,-29.656087014738215
0.62,-68.67664994688842,-29.587847766885783
0.63,-68.77147990569838,-29.520622395509626
0.64,-68.86334634796293,-29.454410987600472
0.65,-68.95238603145162,-29.389211564201815
0.66,-69.0387274281256,-29.325020248100493
0.67,-69.12249134240648,-29.26183142779778
0.68,-69.20379147487616,-29.199637917674295
0.6900000000000001,-69.28273493694486,-29.13843111406466
0.7000000000000001,-69.35942272139376,-29.078201146849597
0.7100000000000001,-69.43395013314061,-29.018937026077396
0.7200000000000001,-69.50640718410116,-28.96062678310573
0.7300000000000001,-69.57687895558766,-28.90325760574536
0.7400000000000001,-69.64544593132007,-28.846815966915454
0.7500000000000001,-69.71218430379261,-28.791287746368198
0.7600000000000001,-69.77716625645232,-28.73665834510164
0.7700000000000001,-69.84046022389133,-28.682912792152038
0.7800000000000001,-69.90213113202643,-28.63003584354722
0.7900000000000001,-69.96224062004123,-28.578012073263878
0.8000000000000002,-70.02084724568755,-28.526825956143558
0.8100000000000002,-70.07800667538662,-28.4764619427754
0.8200000000000002,-70.13377186042685,-28.426904526460454
0.8300000000000002,-70.18819320043222,-28.378138302411237
0.8400000000000002,-70.2413186951634,-28.330148019439587
0.8500000000000002,-70.2931940856109,-28.282918624415863
0.8600000000000002,-70.3438629852538,-28.236435299852612
0.8700000000000002,-70.39336700227402,-28.19068349498946
0.8800000000000002,-70.44174585344705,-28.145648950812998
0.8900000000000002,-70.4890374703604,-28.10131771944108
0.9000000000000002,-70.53527809856055,-28.05767617835193
0.9100000000000003,-70.58050239016771,-28.014711039921437
0.9200000000000003,-70.62474349045829,-27.97240935675015
0.9300000000000003,-70.66803311886564,-27.930758523252415
0.9400000000000003,-70.71040164481627,-27.889746273985068
0.9500000000000003,-70.75187815878147,-27.849360679152618
0.9600000000000003,-70.79249053889075,-27.80959013773936
0.9700000000000003,-70.83226551342965,-27.770423368675527
0.9800000000000003,-70.8712287195119,-27.731849400430363
0.9900000000000003,-70.90940475820008,-27.693857559393045
1.0000000000000004,-70.9468172463191,-27.6564374573763
1.0100000000000002,-70.98348886519365,-27.619578978549484
1.0200000000000005,-71.01944140651955,-27.58327226607032
1.0300000000000002,-71.05469581556338,-27.547507708661016
1.0400000000000005,-71.08927223187044,-27.51227592734328
1.0500000000000003,-71.12319002764599,-27.477567762506386
1.0600000000000005,-71.1564678439637,-27.443374261468833
1.0700000000000003,-71.1891236249448,-27.409686666654594
1.0800000000000005,-71.22117465003541,-27.376496404485238
1.0900000000000003,-71.25263756450832,-27.343795075058928
1.1000000000000005,-71.2835284083002,-27.31157444266688
1.1100000000000003,-71.31386264328751,-27.27982642718501
1.1200000000000006,-71.34365517910327,-27.248543096340587
1.1300000000000003,-71.37292039757946,-27.217716658859967
1.1400000000000006,-71.40167217590383,-27.187339458466255
1.1500000000000004,-71.4299239085668,-27.157403968707534
1.1600000000000006,-71.45768852817345,-27.127902788560217
1.1700000000000004,-71.48497852518598,-27.098828638761134
1.1800000000000006,-71.51180596665782,-27.070174358819195
1.1900000000000004,-71.53818251404363,-27.04193290460651
1.2000000000000006,-71.56411944008002,-27.01409734652929
1.2100000000000004,-71.58962764486317,-26.98666086813651
1.2200000000000006,-71.61471767111894,-26.95961676514189
1.2300000000000004,-71.63939971873167,-26.932958444777
1.2400000000000007,-71.66368365856852,-26.90667942540626
1.2500000000000004,-71.6875790456397,-26.880773336345662
1.2600000000000007,-71.71109513163358,-26.855233917813617
1.2700000000000005,-71.73424087685638,-26.830055020969652
1.2800000000000007,-71.7570249616146,-26.805230607973492
1.2900000000000005,-71.7794557970667,-26.780754752027196
1.3000000000000007,-71.80154153557312,-26.756621637359
1.3100000000000005,-71.82329008057368,-26.732825559096376
1.3200000000000007,-71.84470909601478,-26.709360923017684
1.3300000000000005,-71.86580601535111,-26.686222245136168
1.3400000000000007,-71.88658805016306,-26.663404151086926
1.3500000000000005,-71.90706219541377,-26.640901378356652
1.3600000000000008,-71.92723525183568,-26.61870876054931
1.3700000000000006,-71.94711380455274,-26.596821255425585
1.3800000000000008,-71.96670425906345,-26.575233914351607
1.3900000000000006,-71.98601283374302,-26.553941895194995
1.4000000000000008,-72.0050455692916,-26.532940457583546
1.4100000000000006,-72.0238083350352,-26.512224960868775
1.4200000000000008,-72.04230683495769,-26.491790861905702
1.4300000000000006,-72.060546613482,-26.471633712661014
1.4400000000000008,-72.07853306100878,-26.451749157670935
1.4500000000000006,-72.0962714192266,-26.432132931365313
1.4600000000000009,-72.1137667862047,-26.412780855274292
1.4700000000000006,-72.13102412127643,-26.393688835148573
1.4800000000000009,-72.14804824972633,-26.374852858000963
1.4900000000000007,-72.16484386728729,-26.3562689891067
1.5000000000000009,-72.181415544459,-26.337933368966322
1.5100000000000007,-72.19776773065374,-26.31984221027298
1.520000000000001,-72.21390475817971,-26.301991794886153
1.5300000000000007,-72.22983084606702,-26.284378470844867
1.540000000000001,-72.2455501037456,-26.266998649430327
1.5500000000000007,-72.26106653426577,-26.249848802617127
1.560000000000001,-72.27638403894754,-26.232925459047394
1.5700000000000007,-72.29150641880503,-26.216225203197464
1.580000000000001,-72.3064373790404,-26.199744671469702
1.5900000000000007,-72.32118053116677,-26.183480550658807
1.600000000000001,-72.33573939686542,-26.167429574711093
1.6100000000000008,-72.35011741014887,-26.151588523206364
1.620000000000001,-72.3643179204821,-26.135954218929353
1.6300000000000008,-72.3783441946008,-26.120523526797946
1.640000000000001,-72.39219941991662,-26.105293351263352
