Naive (est),Naive (err_bound),IAE without Bayesian (est),IAE without Bayesian (err_bound),IAE with Bayesian (est),IAE with Bayesian (err_bound),Naive_fixed_shots (est),Naive_fixed_shots (err_bound),Naive (total_sc),IAE without Bayesian (total_sc),IAE with Bayesian (total_sc)
-2.487731717780869,0.0018483178709253,-2.487488337383234,0.0025059777128369,-2.4876337963924824,0.0022714072072328,-2.465982618749325,0.0239031505832827,3951950.0,29273.35,26738.0
-2.428516089140905,0.0018093711544014,-2.4278917525294,0.0024798946628851,-2.4279088635790296,0.002217330723845,-2.4068523715960763,0.0239783390705141,3955600.0,28766.5,26394.9
-2.300975368945026,0.0015701452656197,-2.299953330500855,0.0025244189486549,-2.3001031463838486,0.002325670151753,-2.277514313483628,0.0251484410085511,3939650.0,28976.0,26401.3
-2.054483241629665,0.0013508823354968,-2.0533389640516835,0.0022747467108253,-2.053541107865542,0.0019987447275153,-2.031364015912382,0.0252913905472487,3948250.0,29980.4,27393.75
-1.8569136364169,0.0012165351517586,-1.8556993442885468,0.0020000554721274,-1.8559383011841275,0.001790746253829,-1.8344294185592736,0.0244643394403714,3952200.0,31602.000000000004,29139.05
-1.7082335337975842,0.0010079473772872,-1.7070363276520262,0.0018705927038836,-1.707338818323522,0.0016697678799719,-1.6858640057198262,0.0242874388189833,3947450.0,34036.75,29834.000000000004
-1.468861749176704,0.0007879977311227,-1.467689012870156,0.0016589550262454,-1.4678577756154532,0.0014403638120556,-1.4472722918816716,0.022653966267858,3951450.0,37467.2,33995.85
-1.313968486135687,0.000651422297073,-1.3128072165918128,0.0014772277203242,-1.3130007668110468,0.0012861943198568,-1.2938503775269163,0.0207833061999587,3950150.0,38725.15,34250.3
-1.2224070592025782,0.0006356299355579,-1.2214665914284764,0.0013707509996248,-1.221591572020669,0.0012505144537138,-1.2029531445399155,0.0187617058471833,3956700.0,35228.899999999994,31946.6
-1.164304811716515,0.0009206453732364,-1.1630914920776647,0.0014021625550892,-1.1633927384597045,0.0012776815571509,-1.1435720686304134,0.0199934128192893,10191700.0,78346.95,67854.75
-1.1343340818901229,0.0007847069565722,-1.1332410629616996,0.0013574855993053,-1.1334139116693378,0.0012473086684094,-1.1143102848388045,0.0153067017793265,3972150.0,31482.15,28115.349999999995
-1.1090225774457476,0.0004927137898134757,-1.107740433994961,0.0012717976528498008,-1.1079857832474072,0.0011127379201657972,-1.0866518660423783,0.018561366253256176,3990000.0,29604.45,25696.9
