BL,NRE,EE
0.5,-6.060464974316117,-0.9874449054980479
0.51,-6.085924640290875,-0.9939157419934153
0.52,-6.110016420619345,-1.0005074992248317
0.53,-6.132842851717308,-1.0071829363402816
0.54,-6.154497334087818,-1.0139075854930506
0.55,-6.175065076403233,-1.020649984176396
0.56,-6.194623940613464,-1.0273816893129881
0.5700000000000001,-6.213245175066214,-1.0340771769114623
0.5800000000000001,-6.2309940834533935,-1.0407136519462312
0.5900000000000001,-6.247930595917208,-1.0472708496823866
0.6000000000000001,-6.26410979543121,-1.0537308112587915
0.6100000000000001,-6.279582368684123,-1.0600776839560502
0.6200000000000001,-6.294395014464606,-1.0662975283376348
0.6300000000000001,-6.308590806319144,-1.0723781437124231
0.6400000000000001,-6.322209516142747,-1.0783089109026334
0.6500000000000001,-6.335287903322329,-1.0840806513790346
0.6600000000000001,-6.347859973478926,-1.0896855012776177
0.6700000000000002,-6.359957210376336,-1.0951167986343087
0.6800000000000002,-6.371608784151701,-1.100368982191423
0.6900000000000002,-6.3828417386645295,-1.105437500244139
0.7000000000000002,-6.393681160442004,-1.1103187281472269
0.7100000000000002,-6.404150331413296,-1.1150098932659622
0.7200000000000002,-6.41427086736893,-1.1195090063124682
0.7300000000000002,-6.424062843846324,-1.1238147981575437
0.7400000000000002,-6.433544910936218,-1.1279266613395376
0.7500000000000002,-6.442734398320159,-1.1318445956054948
0.7600000000000002,-6.451647411698091,-1.1355691569104416
0.7700000000000002,-6.4602989216199,-1.1391014093880356
0.7800000000000002,-6.468702845579384,-1.1424428799102602
0.7900000000000003,-6.476872124095052,-1.1455955149411448
0.8000000000000003,-6.484818791349105,-1.1485616395019829
0.8100000000000003,-6.492554032763869,-1.1513439259637974
0.8200000000000003,-6.500088224536286,-1.1539453779240936
0.8300000000000003,-6.5074311528164674,-1.1563691374673082
0.8400000000000003,-6.514591776719849,-1.158618732851116
0.8500000000000003,-6.521578479950729,-1.1606978509577757
0.8600000000000003,-6.528399107522981,-1.162610316062432
0.8700000000000003,-6.535060945655247,-1.164360122952644
0.8800000000000003,-6.541570796067789,-1.1659513770190575
0.8900000000000003,-6.547935007205471,-1.1673882752877813
0.9000000000000004,-6.5541595093180725,-1.1686750828713663
0.9100000000000004,-6.560249847039763,-1.1698161111594358
0.9200000000000004,-6.566211209617224,-1.1708156977204947
0.9300000000000004,-6.5720484589187995,-1.1716781878886688
0.9400000000000004,-6.577766155345559,-1.17240791800672
0.9500000000000004,-6.583368581759299,-1.1730092002891666
0.9600000000000004,-6.588859765539733,-1.1734863092599097
0.9700000000000004,-6.594243492392232,-1.1738434758318521
0.9800000000000004,-6.599523351375263,-1.1740848518264833
0.9900000000000004,-6.604702711746942,-1.1742145387659195
1.0000000000000004,-6.609784771137539,-1.1742365493106357
1.0100000000000005,-6.614772541585764,-1.1741548272299285
1.0200000000000005,-6.619668895178954,-1.1739732112473655
1.0300000000000005,-6.6244765538284,-1.1736954514423386
1.0400000000000005,-6.629198105747458,-1.1733252004953334
1.0500000000000005,-6.633836015317897,-1.1728660111333322
1.0600000000000005,-6.6383926320633035,-1.1723213343841845
1.0700000000000005,-6.642870198807772,-1.1716945185572423
1.0800000000000005,-6.647270859092767,-1.1709888088706766
1.0900000000000005,-6.651596663921335,-1.170207347649153
1.1000000000000005,-6.655849577893128,-1.169353175020026
1.1100000000000005,-6.660031484789597,-1.1684292300401664
1.1200000000000006,-6.664144192663821,-1.1674383521907352
1.1300000000000006,-6.668189438484931,-1.1663832831812964
1.1400000000000006,-6.67216889238276,-1.165266669010217
1.1500000000000006,-6.676084161533978,-1.1640910622327312
1.1600000000000006,-6.679936793727291,-1.1628589243930243
1.1700000000000006,-6.683728280641212,-1.1615726285811276
1.1800000000000006,-6.687460060864714,-1.1602344620797778
1.1900000000000006,-6.691133522687428,-1.1588466290709525
1.2000000000000006,-6.694750006683666,-1.1574112533749552
1.2100000000000006,-6.698310808111052,-1.1559303811997579
1.2200000000000006,-6.701817179142675,-1.1544059838800644
1.2300000000000006,-6.705270330949295,-1.1528399605902284
1.2400000000000007,-6.708671435645673,-1.151234141016603
1.2500000000000007,-6.712021628114028,-1.1495902879786806
1.2600000000000007,-6.715322007715473,-1.1479100999891898
1.2700000000000007,-6.718573639899098,-1.146195213746513
1.2800000000000007,-6.721777562636869,-1.1444472017019274
1.2900000000000007,-6.724934768091426,-1.1426675938962243
1.3000000000000007,-6.7280462336081825,-1.1408578509687501
1.3100000000000007,-6.731112903294577,-1.1390193857814033
1.3200000000000007,-6.734135694128659,-1.1371535606754977
1.3300000000000007,-6.737115497105666,-1.1352616894835736
1.3400000000000007,-6.740053178321048,-1.1333450394629037
1.3500000000000008,-6.742949579990632,-1.1314048331554483
1.3600000000000008,-6.745805521410247,-1.1294422501764954
1.3700000000000008,-6.748621799860556,-1.1274584289316758
1.3800000000000008,-6.751399191465495,-1.12545446825902
1.3900000000000008,-6.754138452010581,-1.1234314289950935
1.4000000000000008,-6.756840317724238,-1.1213903354670562
1.4100000000000008,-6.759505506021754,-1.1193321769159583
1.4200000000000008,-6.7621347162111585,-1.1172579088571266
1.4300000000000008,-6.764728630161126,-1.115168454381475
1.4400000000000008,-6.767287912932311,-1.1130647054018272
1.4500000000000008,-6.769813213374237,-1.1109475238460331
1.4600000000000009,-6.772305164690142,-1.1088177427991115
1.4700000000000009,-6.77476438497174,-1.1066761675964907
1.4800000000000009,-6.777191480386879,-1.1045235742794999
1.4900000000000009,-6.779587034917299,-1.1023607209806183
1.5000000000000009,-6.781951626954264,-1.1001883332810636
